name,team,position,age,gamesPlayed,mpg,min%,usg%,to%,fta,ft%,2pa,2p%,3pa,3p%,efg%,ts%,ppg,rpg,trb%,apg,ast%,spg,bpg,topg,vi,ortg,drtg
Coby White,Chi,G,22.96,42,21.2,44.1,17.3,10.3,38,0.789,107,0.495,191,0.361,0.525,0.545,8.2,2.7,7.1,1.9,12,0.79,0.1,0.86,6.6,107,108.6
Derrick White,Bos,G,28.59,52,26.5,55.3,16.1,10.2,106,0.858,192,0.526,220,0.373,0.544,0.588,10.4,3.2,6.6,3.5,17.9,0.73,0.92,1,7.4,122.6,107
Jack White,Den,F,25.5,11,3.1,6.5,12.6,10,0,0,6,0.333,3,0.333,0.389,0.389,0.6,0.6,11.8,0,0,0.09,0.18,0.09,0,N/A,N/A
Joe Wieskamp,Tor,G-F,23.45,2,8.6,17.8,14.9,16.7,0,0,1,0,4,0.75,0.9,0.9,4.5,0,0,0.5,8.6,0,0,0.5,0,140.5,125
Aaron Wiggins,Okc,G-F,24.09,40,18.3,38.2,13.9,14.3,42,0.81,123,0.553,68,0.397,0.568,0.599,6.3,3.3,9.6,1.5,10.4,0.48,0.15,0.88,6.9,118.7,109
Andrew Wiggins,Gol,F,27.94,31,32,66.6,21.6,7.8,61,0.607,244,0.541,201,0.393,0.563,0.57,17.4,4.9,8.3,2.2,10.4,1.29,0.87,1.29,7.2,112.7,109
Robert Williams III,Bos,C-F,25.3,18,22.9,47.7,11.9,14.2,20,0.7,88,0.773,0,0,0.773,0.775,8.3,8.1,19.5,1.6,9.8,0.5,1.22,0.89,8.3,153.6,105.8
Vince Williams Jr.,Mem,G,22.43,9,5.4,11.3,11.7,7.1,0,0,4,0.5,9,0.111,0.269,0.269,0.8,0.8,7.5,0.3,7.3,0.44,0.11,0.11,4.3,76,99.6
Alondes Williams,Bro,G,23.63,1,5.3,11,16.8,100,0,0,0,0,0,0,N/A,N/A,0,1,10.7,0,0,0,0,2,0,N/A,97.2
Grant Williams,Bos,F,24.18,51,27.6,57.5,12.7,13.6,79,0.848,133,0.564,188,0.42,0.603,0.638,8.9,4.7,9.3,1.6,7.8,0.63,0.41,1.1,5.9,122.1,105.6
Jalen Williams,Okc,G-F,21.81,47,28.7,59.8,17.4,13.2,89,0.753,323,0.582,126,0.317,0.552,0.577,12,3.9,7.3,2.8,13.4,1.09,0.55,1.57,7.1,112.1,108.5
Jaylin Williams,Okc,F,20.6,19,13.6,28.3,15.6,14.5,15,0.533,52,0.462,24,0.417,0.513,0.521,4.5,4.1,16,1.3,12.3,0.32,0.11,0.74,8.5,106.7,98.9
Kenrich Williams,Okc,G-F,28.17,43,22.5,46.8,13.1,6.9,30,0.433,162,0.599,106,0.396,0.597,0.592,7.7,5,11.8,1.9,11.2,0.74,0.28,0.49,7.4,129.9,107.9
Mark Williams,Cha,C,21.13,21,14.2,29.5,17.9,11.7,45,0.756,93,0.613,0,0,0.613,0.656,7,5.3,19.7,0.3,3,0.76,0.86,0.71,6.3,125.9,100.7
Zion Williamson,Nor,F,22.58,29,33,68.7,30,14.6,248,0.714,450,0.618,19,0.368,0.615,0.652,26,7,11.9,4.6,24.5,1.1,0.55,3.41,11.4,120.6,108.2
Patrick Williams,Chi,F,21.44,50,29.4,61.2,15.2,13,65,0.892,235,0.506,180,0.411,0.554,0.584,10.4,4.3,8.3,1.3,6,0.72,0.86,1.32,5.3,109.7,110.6
Ziaire Williams,Mem,F,21.39,25,18.8,39.2,16.5,14.7,17,0.765,75,0.6,80,0.25,0.484,0.502,6.5,2.7,7.5,0.9,6.1,0.48,0.2,1.12,5.3,95.2,104.1
Justise Winslow,Por,F-G,26.86,29,26.8,55.7,14.2,17,28,0.714,153,0.438,45,0.311,0.444,0.466,6.8,5,10.8,3.4,17.1,1.03,0.38,1.48,7.3,105.3,106.2
James Wiseman,Gol,C,21.84,19,12.7,26.4,20.2,12,35,0.657,85,0.612,2,0.5,0.615,0.635,6.8,3.6,15.6,0.7,8.8,0.11,0.37,0.74,8.1,119.9,100.8
Christian Wood,Dal,F,27.35,42,29,60.5,26,12.8,179,0.737,332,0.623,195,0.385,0.606,0.636,18.4,8.4,17.1,1.7,10.2,0.48,1.26,2.12,8.8,116.5,105
McKinley Wright IV,Dal,G,24.28,14,9.6,20,12.4,24.6,8,0.625,18,0.5,6,0.167,0.438,0.472,1.9,1.1,7,1.4,20.4,0.5,0.21,0.64,6,100.7,105.9
Delon Wright,Was,G,30.77,21,21.2,44.3,13.6,12.2,27,0.889,59,0.559,52,0.308,0.514,0.562,6.6,3,7.6,3.6,22.2,2,0.33,0.81,7.8,124.6,108.2
Thaddeus Young,Tor,F,34.62,42,16,33.3,12.9,15.8,20,0.75,136,0.64,26,0.154,0.574,0.588,4.8,3.4,11.9,1.5,13.1,1.12,0.12,0.76,7.3,120.9,105.1
Trae Young,Atl,G,24.37,46,35.5,74,33.4,14.7,403,0.886,617,0.48,304,0.322,0.481,0.566,27,2.9,4.4,9.9,41.8,0.91,0.13,4.11,10.4,114.3,116.6
Ivica Zubac,Lac,C,25.88,52,29.1,60.7,14.5,18.1,161,0.702,338,0.618,2,0,0.615,0.646,10.2,10.2,19.3,1,5.1,0.37,1.31,1.75,6.5,122.6,103.5
Kendrick Nunn,Was,G,27.5,3,20,41.7,24.8,2.9,1,1,18,0.556,15,0.333,0.53,0.538,12,3,8.2,2,16.2,1,0,0.33,8.3,115.7,109.8
Rui Hachimura,Lal,F,24.98,4,28.4,59.1,17.6,2.1,14,0.5,27,0.63,13,0.308,0.575,0.574,13.3,5.8,10.9,0.8,3.8,0.25,0.25,0.25,5.6,120.5,113.9
Danny Green,Mem,G,35.62,1,9.9,20.6,20.6,20,0,0,0,0,4,0.25,0.375,0.375,3,4,21.1,1,12.6,1,0,1,9.3,83.4,84.2
